Category,value,Demography,Offender/Victim,Year,,,,,
Black or African American,10413,By Race,Offender,2022,,,,,
White,7134,By Race,Offender,2022,,,,,
American Indian or Alaska Native,233,By Race,Offender,2022,,,,,
Asian,204,By Race,Offender,2022,,,,,
Native Hawaiian or Other Pacific Islander,56,By Race,Offender,2022,,,,,
Black or African American,10833,By Race,Victim,2022,,,,,
White,8090,By Race,Victim,2022,,,,,
Asian,286,By Race,Victim,2022,,,,,
American Indian or Alaska Native,254,By Race,Victim,2022,,,,,
Native Hawaiian or Other Pacific Islander,45,By Race,Victim,2022,,,,,
1 - 20,3678,By Age,Offender,2022,,,,,
20 - 60,13630,By Age,Offender,2022,,,,,
60 +,684,By Age,Offender,2022,,,,,
1 - 20,3118,By Age,Victim,2022,,,,,
20 - 60,14967,By Age,Victim,2022,,,,,
60 +,1707,By Age,Victim,2022,,,,,
